2022-10-05T13:33:16+03:00 [ERROR]: File was not uploaded. Name: База данных1.fg.txt, size 294912 bytes, reasons: File already exists
2022-10-05T13:44:07+03:00 [ERROR]: File was not uploaded. Name: pmotion.log, size 608 bytes, reasons: Invalid extention
2022-10-05T13:45:17+03:00 [ERROR]: File was not uploaded. Name: , size 0 bytes, reasons: File not found
2022-10-05T13:47:13+03:00 [ERROR]: File was not uploaded. Name: , size 0 bytes, reasons: File not found
2022-10-05T13:47:28+03:00 [ERROR]: File was not uploaded. Name: TOKhOD_Laboratorny_praktikum.txt, size 618496 bytes, reasons: File already exists
2022-10-05T13:47:31+03:00 [ERROR]: File was not uploaded. Name: , size 0 bytes, reasons: File not found
2022-10-05T13:52:20+03:00 [ERROR]: File was not uploaded. Name: TOKhOD_Laboratorny_praktikum.txt, size 618496 bytes, reasons: File already exists
2022-10-05T13:52:25+03:00 [ERROR]: File was not uploaded. Name: , size 0 bytes, reasons: File not found
2022-10-05T13:52:33+03:00 [ERROR]: File was not uploaded. Name: pmotion.log, size 608 bytes, reasons: Invalid extention
